--- Detection Log Started: 2025-07-16 19:58:04.653123 ---
Video Source: c:\Users\adity\Desktop\OBJDETECT\data\firedata2.mp4
--------------------------------------------------
[2025-07-16 19:58:04.955 | Frame 0] Base and fire YOLO models loaded.
[2025-07-16 19:58:26.220 | Frame 37] Detected FIRE: FIRE 0.50 at [743,144,831,270] conf: 0.50
[2025-07-16 19:58:26.741 | Frame 38] Detected HUMAN: Person 0.93 at [197,369,382,679] conf: 0.93
[2025-07-16 19:58:26.741 | Frame 38] Detected HUMAN: Person 0.92 at [367,363,554,679] conf: 0.92
[2025-07-16 19:58:26.741 | Frame 38] Detected VEHICLE: Car 0.91 at [1034,497,1213,636] conf: 0.91
[2025-07-16 19:58:26.741 | Frame 38] Detected VEHICLE: Car 0.90 at [829,495,1061,636] conf: 0.90
[2025-07-16 19:58:26.741 | Frame 38] Detected VEHICLE: Truck 0.86 at [589,454,838,638] conf: 0.86
[2025-07-16 19:58:26.741 | Frame 38] Alert cleared: ALERT: FIRE DETECTED!
[2025-07-16 19:58:26.741 | Frame 38] Alert triggered: ALERT: HUMAN DETECTED!
[2025-07-16 19:58:26.741 | Frame 38] Sound alert triggered: HUMAN
[2025-07-16 19:58:26.741 | Frame 38] Sound file not found: human_alert.mp3
[2025-07-16 19:58:27.259 | Frame 39] Detected HUMAN: Person 0.94 at [197,368,382,679] conf: 0.94
[2025-07-16 19:58:27.259 | Frame 39] Detected HUMAN: Person 0.93 at [368,362,549,679] conf: 0.93
[2025-07-16 19:58:27.259 | Frame 39] Detected VEHICLE: Car 0.91 at [1033,496,1213,636] conf: 0.91
[2025-07-16 19:58:27.259 | Frame 39] Detected VEHICLE: Car 0.90 at [830,493,1060,635] conf: 0.90
[2025-07-16 19:58:27.259 | Frame 39] Detected VEHICLE: Truck 0.89 at [589,453,838,638] conf: 0.89
[2025-07-16 19:58:27.259 | Frame 39] Detected FIRE: FIRE 0.32 at [0,7,987,557] conf: 0.32
[2025-07-16 19:58:27.259 | Frame 39] Alert cleared: ALERT: HUMAN DETECTED!
[2025-07-16 19:58:27.259 | Frame 39] Alert triggered: ALERT: FIRE DETECTED!
[2025-07-16 19:58:27.259 | Frame 39] Sound alert triggered: FIRE
[2025-07-16 19:58:27.259 | Frame 39] Sound file not found: fire_alert.mp3
[2025-07-16 19:58:27.789 | Frame 40] Detected HUMAN: Person 0.92 at [368,362,547,679] conf: 0.92
[2025-07-16 19:58:27.789 | Frame 40] Detected HUMAN: Person 0.92 at [197,368,380,679] conf: 0.92
[2025-07-16 19:58:27.790 | Frame 40] Detected VEHICLE: Car 0.90 at [1036,495,1213,634] conf: 0.90
[2025-07-16 19:58:27.790 | Frame 40] Detected VEHICLE: Car 0.89 at [830,493,1061,634] conf: 0.89
[2025-07-16 19:58:27.790 | Frame 40] Detected VEHICLE: Truck 0.81 at [590,451,839,637] conf: 0.81
[2025-07-16 19:58:27.790 | Frame 40] Alert cleared: ALERT: FIRE DETECTED!
[2025-07-16 19:58:27.790 | Frame 40] Alert triggered: ALERT: HUMAN DETECTED!
[2025-07-16 19:58:27.790 | Frame 40] Sound alert triggered: HUMAN
[2025-07-16 19:58:27.790 | Frame 40] Sound file not found: human_alert.mp3
